term,category,boost_value,alert_level,pinyin,common_error,description
# ============================================================================
# 核心設備術語（從測試結果提取的高頻錯誤）
# ============================================================================
OCC,equipment,20,1,O-C-C,歐西|哦西|歐CC|現電力一場,行控中心 Operations Control Center
MCP,equipment,20,2,M-C-P,ncp|n c p|M C P,主控面板 Master Control Panel
EDRH,equipment,20,3,E-D-R-H,e d|ED|e d r h,緊急門釋放把手 Emergency Door Release Handle
MTC,equipment,18,2,M-T-C,M T C,月台門控制 Platform Door Control
MCS,equipment,18,2,M-C-S,M C S,主控模式 Master Control System
ATP,equipment,18,1,A-T-P,ATP|a t p,列車自動防護系統 Automatic Train Protection
ATO,equipment,18,1,A-T-O,ATO|a t o,列車自動駕駛系統 Automatic Train Operation
VVVF,equipment,20,1,V-V-V-F,VVF|威威威福|v v v f,變頻器 Variable Voltage Variable Frequency
Bypass,equipment,18,2,Bypass,拜帕斯|百帕斯|偷拜PASS|bypas,旁路模式

# ============================================================================
# 專業術語修正（測試中發現的同音字錯誤）
# ============================================================================
軌旁胸牆,equipment,20,2,gui3 pang2 xiong1 qiang2,鬼旁修牆|鬼旁收牆|規旁修牆,軌道旁防護牆
月台門,equipment,18,2,yue4 tai2 men2,月車|月台們|越台門,Platform Screen Doors
月台,location,15,0,yue4 tai2,月車|越台|約台,車站月台
停準,status,20,2,ting2 zhun3,停駛|停準備|停站,列車停靠準確位置
列車,equipment,15,0,lie4 che1,捷捷車|例車|劣車,捷運列車
旅客,role,15,1,lv3 ke4,陸客|旅克|綠客,乘客
障礙物,status,18,2,zhang4 ai4 wu4,代務委員|障礙屋|障礙,軌道障礙物
電纜,equipment,18,2,dian4 lan3,電腦|電覽|電覽,電力電纜
可視範圍,command,12,0,ke3 shi4 fan4 wei2,可是範圍|確認範圍,目視可見範圍
立即回報,command,18,3,li4 ji2 hui2 bao4,立起回報|力求報|立刻回報,緊急回報指令

# ============================================================================
# 車站代碼完整列表（綠線 G + 紅線 R）
# ============================================================================
G01,station_code,20,0,G-ling2-yi1,G零一|G 0 1|G洞一,北屯總站
G02,station_code,20,0,G-ling2-er4,G零二|G 0 2|G洞二,舊社
G03,station_code,20,0,G-ling2-san1,G零三|G 0 3|G洞三,松竹
G04,station_code,20,0,G-ling2-si4,G零四|G 0 4|G洞四,四維國小
G05,station_code,20,0,G-ling2-wu3,G零五|G 0 5|G洞五,文心崇德
G06,station_code,20,0,G-ling2-liu4,G零六|G 0 6|G洞六,文心中清
G07,station_code,20,0,G-ling2-qi1,G零七|G 0 7|G洞七,文華高中
G08,station_code,20,0,G-ling2-ba1,G零八|G 0 8|G洞八,文心櫻花
G08a,station_code,20,0,G-ling2-ba1-a,G零八a|G 0 8 a|G洞八a,文心櫻花站
G09,station_code,20,0,G-ling2-jiu3,G零九|G 0 9|G洞九,市政府
G10,station_code,20,0,G-yi1-ling2,G一零|G 1 0|G腰洞|G10,水安宮
G10a,station_code,20,0,G-yi1-ling2-a,G一零a|G腰零a|G 1 0 a,文心森林公園
G11,station_code,20,0,G-yi1-yi1,G一一|G腰一|G 1 1|G11,南屯
G12,station_code,20,0,G-yi1-er4,G一二|G腰二|G 1 2|G12,豐樂公園
G13,station_code,20,0,G-yi1-san1,G一三|G腰三|G 1 3|G13,大慶
G14,station_code,20,0,G-yi1-si4,G一四|G腰四|G 1 4|G14,九張犁
G15,station_code,20,0,G-yi1-wu3,G一五|G腰五|G 1 5|G15,九德
G16,station_code,20,0,G-yi1-liu4,G一六|G腰六|G 1 6|G16,烏日
G17,station_code,20,0,G-yi1-qi1,G一七|G腰七|G 1 7|G17,高鐵臺中站

